Year,Make,Model,Variant,FuelType,Transmission,Location,Price,KMS_Driven,EMI_per_Month
2015,Hyundai,Elite i20 ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",492000,145000,8955
2013,Maruti,Swift  ,VDi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",332000,97000,8949
2015,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",399000,68000,7262
2016,Hyundai,Creta  ,1.6 SX Plus Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",795000,79500,13538
2018,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",336000,29500,6005
2022,Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",689000,20000,11733
2016,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",288000,86000,4904
2022,Honda,Amaze  ,1.2 VX CVT i-VTEC,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",740000,73000,12601
2021,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",591000,53500,10064
2022,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",678000,32000,11545
2021,Renault,Kiger  ,RXZ 1.0 Turbo MT Dual Tone,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",759000,28000,12925
2022,Renault,Triber  ,RXZ AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",642000,30000,10932
2021,Nissan,Magnite  ,XL Turbo CVT,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",644000,58500,10966
2013,Ford,EcoSport  ,Trend 1.5 TDCi,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",438000,119500,11806
2020,Tata,Nexon  ,XZ Plus Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",712000,84500,12124
2014,Maruti,Ritz  ,Vxi BS-IV,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",308000,109500,6197
2014,Maruti,Swift  ,VDi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",425000,102500,9121
2016,Honda,City  ,SV CVT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",536000,97000,9127
2017,Datsun,GO  ,T,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",275000,41000,5902
2015,Hyundai,Elite i20 ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",537000,132000,9774
2015,Hyundai,i20 Active ,1.4 SX,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",544000,121000,9902
2018,Maruti,Ciaz  ,Zeta 1.4 AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",642000,96000,10932
2014,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",402000,52500,8627
2017,Maruti,Celerio  ,ZXi AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",397000,57500,6760
2015,Honda,Amaze  ,1.2 VX i-VTEC,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",476000,54500,8664
2017,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",316000,29500,5647
2019,Hyundai,Grand i10 ,Magna AT 1.2 Kappa VTVT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",582000,20500,9911
2020,Maruti,Wagon R 1.2,VXI (O),petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",457000,55500,7782
2016,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",267000,60500,4771
2019,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",510000,39500,8685
2021,Kia,Sonet  ,HTX Plus 1.5,diesel,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1083000,42000,18630
2015,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",259000,35000,4929
2016,Renault,Kwid  ,RXT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",292000,25500,4972
2013,Maruti,Alto 800 ,Vxi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",255000,36000,7071
2014,Hyundai,Eon  ,Magna +,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",271000,41500,5452
2016,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",268000,56500,4563
2013,Volkswagen,Vento  ,1.6L Highline Diesel,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",436000,103000,11017
2018,Tata,Nexon  ,XZA Plus AMT Diesel,diesel,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",752000,103000,12806
2023,Maruti,Dzire  ,ZXI Plus,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",749000,95500,12755
2018,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",248000,99000,4432
2018,Maruti,S-Cross  ,Alpha 1.3,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",815000,84000,13878
2019,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",534000,45000,9093
2019,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",540000,55000,9195
2023,Maruti,Ciaz  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",959000,23000,16331
2018,Maruti,Ignis  ,Delta MT Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",418000,64500,7118
2020,Renault,Duster  ,RXZ Turbo Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",863000,45500,14696
2017,Maruti,Alto 800 ,LXI (O),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",268000,53500,4789
2022,Maruti,Ciaz  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",964000,26500,16416
2017,Hyundai,Elite i20 ,Asta 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",605000,68500,10302
2018,Maruti,Vitara Brezza ,ZDi,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",784000,85000,13351
2019,Renault,Kwid  ,RXT 1.0 SCE Special (O),petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",359000,51500,6113
2016,Hyundai,Elite i20 ,Asta 1.2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",518000,148500,8821
2022,Maruti,Vitara Brezza ,ZXi Plus,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",898000,33500,15292
2014,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",375000,74500,10108
2016,Renault,Kwid  ,RXT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",277000,80500,4717
2018,Mahindra,Scorpio  ,S5,diesel,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",935000,87500,15922
2012,Hyundai,i10  ,Magna 1.2 Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",281000,27500,10687
2014,Maruti,Swift  ,ZXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",427000,68000,9164
2017,Renault,Kwid  ,CLIMBER 1.0 AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",394000,9000,6709
2016,Maruti,Baleno  ,Zeta 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",539000,66000,9178
2016,Maruti,Swift Dzire ,VDI (O),diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",497000,89000,9046
2022,Renault,Triber  ,RXT AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",655000,43500,11154
2017,Maruti,Ignis  ,Zeta AMT Petrol Dual Tone,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",553000,24500,9417
2021,Volkswagen,Polo  ,Trendline 1.0 (P),petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",595000,31500,9499
2017,Maruti,Swift  ,VXI (O),petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",478000,68500,8140
2017,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",297000,22000,5308
2017,Mahindra,TUV300  ,T8 mHAWK100,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",685000,36000,11665
2015,Honda,Amaze  ,1.2L SX,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",417000,64000,7590
2013,Maruti,Swift  ,ZXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",396000,69000,15061
2015,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",298000,137000,5671
2014,Hyundai,Elite i20 ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",532000,114000,11417
2017,Hyundai,Creta  ,1.6 SX Plus Auto Petrol,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",874000,91500,14883
2017,Hyundai,Eon  ,Magna +,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",262000,77500,4182
2016,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",412000,105500,7499
2017,Hyundai,Eon  ,Sportz,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",309000,71000,4933
2018,Maruti,S-Cross  ,Zeta 1.3,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",726000,103500,12363
2018,Honda,WR-V  ,i-DTEC VX,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",721000,112000,12278
2021,Nissan,Magnite  ,XV Premium Turbo CVT (O) Dual Tone,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",874000,47500,14883
2022,Renault,Kwid  ,Climber 1.0l SCE Petrol MT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",469000,24500,7986
2014,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",314000,59500,6991
2019,Renault,Kwid  ,RXT 1.0 SCE Special (O),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",321000,84500,5466
2018,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",312000,57500,5313
2016,Hyundai,Elite i20 ,Magna 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",464000,47500,7901
2020,Hyundai,Venue  ,SX 1.0 (O) Turbo iMT,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",858000,27500,14611
2014,Hyundai,i20  ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",483000,72500,10366
2019,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",340000,57000,6076
2022,Hyundai,Grand i10 Nios,Asta AMT 1.2 Kappa VTVT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",749000,24000,12755
2014,Toyota,Etios  ,G,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",387000,48500,9779
2011,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",263000,62000,18792
2016,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",401000,104000,6828
2011,Maruti,Swift  ,LXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",309000,64000,22079
2014,Maruti,Alto 800 ,Vxi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",231000,67500,5143
2021,Renault,Triber  ,RXZ AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",593000,75500,10098
2016,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",257000,35000,4593
2015,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",246000,53000,4681
2020,Maruti,Baleno  ,Alpha,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",690000,49500,11750
2023,MG,Astor  ,Sharp 1.5 CVT,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1349000,25500,23199
2018,Maruti,Alto K10 ,VXi (O),petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",337000,48500,5738
2015,Hyundai,i10  ,Sportz 1.1 Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",373000,44000,6789
2020,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",570000,51000,9706
2017,Maruti,Ignis  ,Alpha MT Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",498000,75500,8480
2018,Hyundai,i20 Active ,1.2 SX,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",624000,81500,10626
2015,Honda,City  ,VX,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",557000,90000,10138
2018,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",396000,65500,7077
2015,Honda,Amaze  ,1.2 S i-VTEC,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",372000,60500,6771
2012,Honda,Brio  ,S(O)MT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",275000,78500,9805
2021,Kia,Seltos  ,HTX G,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1118000,101000,19226
2016,Hyundai,Elite i20 ,Asta 1.2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",484000,101000,8809
2011,Maruti,Wagon R 1.0,LXI CNG,petrol+cng,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",253000,106500,18077
2019,Honda,City  ,V 4th Gen,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",700000,105000,11920
2020,Hyundai,Venue  ,SX Plus 1.0 Turbo DCT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",821000,110500,13981
2019,Maruti,Swift  ,ZXI AMT,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",634000,43000,10796
2017,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",296000,41500,5040
2014,Maruti,Celerio  ,VXI AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",321000,55500,6889
2021,Skoda,Kushaq  ,Style 1.0L TSI MT,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1130000,78500,19430
2020,Kia,Seltos  ,GTX Plus DCT,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1332000,74500,22907
2015,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",353000,63000,6718
2023,Maruti,Brezza  ,ZXI AT Dual Tone,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1206000,17000,20740
2023,Maruti,Ignis  ,Alpha MT Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",679000,19500,11562
2018,Maruti,Ciaz  ,Alpha 1.4 AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",708000,64500,12056
2019,Honda,WR-V  ,VX i-VTEC Petrol+cng(Outside Fitted),petrol+cng,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",749000,46000,12755
2022,Renault,Duster  ,RXS Turbo,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",937000,24500,15956
2021,Renault,Kwid  ,CLIMBER 1.0 Opt,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",461000,2500,7850
2020,Mahindra,XUV 300 ,W8 AMT (O) Diesel,diesel,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1008000,66500,17165
2016,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",310000,44000,5540
2013,Nissan,Micra  ,XV Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",249000,106500,6292
2021,Maruti,S-Presso  ,VXI Plus,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",406000,18000,6913
2016,Ford,EcoSport  ,Titanium 1.5L Ti-VCT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",547000,111500,9315
2014,Hyundai,Elite i20 ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",533000,136000,11439
2015,Hyundai,i10  ,Sportz 1.1 Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",310000,92500,5642
2019,Maruti,XL6  ,Alpha AT Petrol,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",862000,96500,14679
2017,Nissan,Micra Active ,XV Safety Pack,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",330000,64000,6006
2011,Maruti,Estilo  ,VXI,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",201000,70500,14362
2017,Maruti,Baleno  ,Alpha 1.2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",590000,40000,10047
2022,Maruti,Ciaz  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",945000,39500,16092
2019,Hyundai,New Santro 1.1,Asta MT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",483000,7500,7711
2022,Maruti,S-Presso  ,VXI Plus,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",453000,32000,7918
2020,Tata,Tiago  ,Revotron XZ Plus,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",534000,41000,9093
2016,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",278000,54500,5060
2021,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",611000,31500,10404
2018,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",510000,47000,8685
2019,Hyundai,Venue  ,SX Plus 1.0 Turbo DCT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",825000,63500,14049
2019,Renault,Kwid  ,1.0 RXT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",336000,40000,5721
2021,Tata,Altroz  ,XT 1.5,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",630000,94000,10728
2021,Maruti,S-Presso  ,VXI Plus AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",423000,54500,7203
2014,Hyundai,i20  ,Sportz 1.4 CRDI,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",439000,101500,9421
2018,Maruti,Ciaz  ,Alpha 1.4 AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",697000,111000,11869
2015,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",304000,93500,5785
2011,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",210000,75500,15005
2016,Maruti,Baleno  ,Delta 1.2 AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",503000,64000,8565
2012,Honda,City  ,1.5 V MT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",374000,75000,14224
2018,Maruti,Ciaz  ,Alpha 1.4 AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",745000,68000,12686
2021,Hyundai,i20 N Line,N8 1.0 Turbo DCT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",928000,30500,15803
2022,Mahindra,Thar  ,LX 4 STR Hard Top Petrol MT 4WD,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1275000,42000,21926
2015,Maruti,Alto 800 ,Vxi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",288000,7000,5481
2020,Maruti,S-Presso  ,VXI Plus,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",356000,80500,6062
2021,Tata,Nexon  ,XZA Plus AMT S,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",979000,32000,16671
2018,Volkswagen,Ameo  ,Highline Plus 1.5L AT (D),diesel,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",596000,73000,9515
2020,Maruti,Ciaz  ,Alpha AT Petrol,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",809000,68000,13776
2018,Maruti,Vitara Brezza ,ZDi Plus,diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",818000,77500,13930
2015,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",351000,44000,6680
2022,Renault,Duster  ,RXZ Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",792000,44000,13487
2011,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",283000,83500,20221
2018,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",452000,108000,7697
2016,Volkswagen,Vento  ,1.5L Highline Diesel AT,diesel,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",605000,106500,9658
2018,Maruti,Dzire  ,ZXi AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",567000,117000,9655
2016,Datsun,GO  ,T,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",227000,130000,6118
2017,Maruti,Baleno  ,Alpha 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",521000,121000,8872
2011,Maruti,Wagon R 1.0,LXI CNG,petrol+cng,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",272000,53000,19435
2012,Toyota,Etios  ,VX,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",305000,108500,10875
2011,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",277000,99000,19792
2022,Tata,Altroz  ,XZA+ Dark Edition,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",778000,58500,13248
2018,Honda,Brio  ,S(O)MT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",459000,42000,7327
2019,Renault,Kwid  ,1.0 RXT(O) SCE,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",339000,80500,5772
